Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa03010	Ribosome	128/154	Signaling	4.50969898844308e-13	1.30330300766005e-10	50	77.8333333333333	59	3.75808249037e-14	1	0.293284501960633	0.303487298802132	1	35.7561689368759	1	68	50	152	119	6	29	22	47	171	197	72
2	hsa04668	TNF signaling pathway	91/108	Signaling	7.55188403376963e-07	0.000109124724287971	5	16.6666666666667	3	6.29323887307462e-08	1	2.04639713310344	2.04639713310344	1	100	4	6	19	3	2	153	1	6	1	3	1	1
3	hsa04060	Cytokine-cytokine receptor interaction	109/270	Signaling	3.62445753558215e-06	0.000349156075927747	5	11.6666666666667	6	3.0203862971501e-07	1	1.81177697175123	1.81177697175123	1	77.2482837538839	7	5	18	1	37	17	3	4	9	35	2	2
4	hsa05134	Legionellosis	43/55	Disease	0.000196304408473691	0.0141829935122242	5	27.25	8	1.63601727297489e-05	1	2.27003208051125	2.27003208051125	1	51.7458696076921	2	1	1	22	11	224	2	3	15	13	28	5
5	hsa03050	Proteasome	39/44	Signaling	0.000813431233026647	0.0233301959660512	5	89.1666666666667	55	6.78112213592987e-05	3	0.194281659084524	0.206950881870698	1	3.9107572784935	3	54	67	236	147	7	22	40	45	189	204	56
6	hsa04010	MAPK signaling pathway	196/255	Signaling	0.000453335997708154	0.0233301959660512	5	48.3333333333333	15.5	3.77858515582012e-05	1	2.33330850511025	2.33330850511025	1	46.9679087348645	31	17	33	14	1	280	59	115	4	9	3	14
7	hsa04012	ErbB signaling pathway	70/86	Signaling	0.00217963768540962	0.0233301959660512	125	124.666666666667	123	0.000181818181818182	15	1.37540306393447	1.37540306393447	1	27.6859255572249	110	125	121	128	15	278	184	174	240	32	18	71
8	hsa04115	p53 signaling pathway	63/69	Signaling	0.00217963768540962	0.0233301959660512	40	76.1666666666667	47	0.000181818181818182	3	1.26469879515263	1.26469879515263	1	25.4575241340904	45	37	3	122	10	193	52	114	214	49	38	37
9	hsa04210	Apoptosis	113/138	Signaling	0.00110140301683954	0.0233301959660512	15	49.0833333333333	17	9.18299506116911e-05	3	1.48432126789948	1.48432126789948	1	29.8783747138077	40	11	16	186	9	170	12	82	8	18	34	3
10	hsa04350	TGF-beta signaling pathway	68/84	Signaling	0.000829909377997536	0.0233301959660512	10	37	8	6.9185435197159e-05	2	1.3541156578814	1.3541156578814	1	27.257424592759	8	4	88	77	7	220	7	8	2	11	8	4
11	hsa04380	Osteoclast differentiation	85/130	Signaling	0.00165305148035077	0.0233301959660512	15	19.1666666666667	13	0.00013785876973274	1	2.00709149101038	2.00709149101038	1	40.4013827420558	16	14	12	12	4	48	36	63	3	1	6	15
12	hsa04550	Signaling pathways regulating pluripotency of stem cells	103/139	Signaling	0.00217963768540962	0.0233301959660512	40	48.9166666666667	41	0.000181818181818182	4	1.6465109573694	1.6465109573694	1	33.1431425390192	37	52	45	46	6	127	88	87	23	37	4	35
13	hsa04660	T cell receptor signaling pathway	73/103	Signaling	0.00217963768540962	0.0233301959660512	60	99.6666666666667	99	0.000181818181818182	16	1.57334422484574	1.57334422484574	1	31.6703461177436	151	96	60	129	17	144	158	201	60	16	102	62
14	hsa04710	Circadian rhythm	26/31	Signaling	0.00217963768540962	0.0233301959660512	105	114.166666666667	105	0.000181818181818182	2	1.59121623382615	1.59121623382615	1	32.0300974686577	133	109	2	101	14	284	211	231	119	7	58	101
15	hsa04713	Circadian entrainment	58/96	Signaling	0.00217963768540962	0.0233301959660512	15	135.25	138	0.000181818181818182	4	2.67742625214115	2.67742625214115	1	53.8947642721214	241	201	73	4	13	138	269	235	276	23	12	138
16	hsa04915	Estrogen signaling pathway	76/98	Signaling	0.00217963768540962	0.0233301959660512	20	128.583333333333	122.5	0.000181818181818182	19	2.409190885168	2.409190885168	1	48.4953692887547	209	141	52	39	19	230	222	242	235	30	20	104
17	hsa04917	Prolactin signaling pathway	55/70	Signaling	0.00217963768540962	0.0233301959660512	25	90.5833333333333	94	0.000181818181818182	20	1.8990921269682	1.8990921269682	1	38.2274292064115	115	99	157	89	21	198	164	110	20	22	35	57
18	hsa05031	Amphetamine addiction	42/68	Disease	0.00217963768540962	0.0233301959660512	20	112.833333333333	104.5	0.000181818181818182	12	3.98140845708341	3.98140845708341	1	80.1430366577294	114	95	128	17	18	246	147	276	211	12	27	63
19	hsa05161	Hepatitis B	116/144	Disease	0.00217963768540962	0.0233301959660512	80	83.25	39.5	0.000181818181818182	4	2.45644290732715	2.45644290732715	1	49.4465202658948	79	21	29	50	12	258	76	155	280	4	14	21
20	hsa05166	HTLV-I infection	200/256	Disease	0.00217963768540962	0.0233301959660512	15	49	20	0.000181818181818182	5	1.92291631987429	1.92291631987429	1	38.7069939599765	27	12	11	85	5	271	8	19	101	21	21	7
21	hsa05202	Transcriptional misregulation in cancer	122/180	Disease	0.00217963768540962	0.0233301959660512	70	57.5	35	0.000181818181818182	3	2.17100744386343	2.17100744386343	1	43.7008990717467	70	38	32	30	3	120	106	165	79	6	17	24
22	hsa05210	Colorectal cancer	57/60	Disease	0.00217963768540962	0.0233301959660512	200	88.3333333333333	57	0.000181818181818182	5	1.86684747424874	1.86684747424874	1	37.5783663400995	77	32	200	95	16	218	141	199	18	5	37	22
23	hsa05212	Pancreatic cancer	61/64	Disease	0.00217963768540962	0.0233301959660512	80	132.333333333333	104	0.000181818181818182	24	0.774571699924808	0.774571699924808	1	15.5916000054123	119	84	47	201	24	244	93	80	228	115	274	79
24	hsa05213	Endometrial cancer	48/50	Disease	0.00217963768540962	0.0233301959660512	205	149.75	161.5	0.000181818181818182	23	1.6245978911728	1.6245978911728	1	32.7020474626046	220	288	83	160	23	79	201	163	202	45	86	247
25	hsa05215	Prostate cancer	82/87	Disease	0.00217963768540962	0.0233301959660512	130	144.833333333333	148.5	0.000181818181818182	7	0.866372458921445	0.866372458921445	1	17.4394866699823	172	130	7	189	22	113	167	194	230	111	276	127
26	hsa05220	Chronic myeloid leukemia	69/71	Disease	0.00217963768540962	0.0233301959660512	65	92.5	91	0.000181818181818182	20	1.08452528969235	1.08452528969235	1	21.8307543591143	85	65	61	179	20	178	119	99	117	41	97	49
27	hsa05323	Rheumatoid arthritis	46/90	Disease	0.00217963768540962	0.0233301959660512	5	9.25	7	0.000181818181818182	2	2.34744386502217	2.34744386502217	1	47.252443888665	5	3	14	2	8	2	6	10	30	17	5	9
28	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	56/68	Disease	0.00226832240734214	0.0234123277043528	10	47.9166666666667	40.5	0.00018922367391138	6	0.947869388721898	0.947869388721898	1	19.0621220439768	69	9	21	115	44	11	26	37	63	82	92	6
29	hsa04950	Maturity onset diabetes of the young	14/26	Disease	0.00250297494812912	0.0249434400003212	35	57.25	38	0.000208820912769541	1	1.00798810396062	1.00798810396062	1	19.9291117591415	51	34	40	36	34	1	87	253	5	80	41	25
30	hsa04964	Proximal tubule bicarbonate reclamation	15/23	Signaling	0.00288188883733502	0.0277621957996607	5	46.9166666666667	48.5	0.000240475204081494	1	1.47252874944628	1.47252874944628	1	28.2691650726386	9	2	106	51	129	51	4	1	52	101	46	11
31	hsa05219	Bladder cancer	38/41	Disease	0.00373488700326269	0.0348187852884812	10	34.9166666666667	27	0.000311774647261463	7	1.2655216269802	1.2655216269802	1	22.7598710538655	24	8	64	52	30	77	16	7	42	67	24	8
32	hsa00471	D-Glutamine and D-glutamate metabolism	4/4	Metabolism	0.00588633419785302	0.0523206330809039	45	67.1666666666667	37.5	0.000536558450967877	2	0.205336170738794	0.205336170738794	1	3.2449844958359	41	25	10	276	57	96	15	2	17	83	150	34
33	hsa05012	Parkinson's disease	120/142	Disease	0.0059743283448783	0.0523206330809039	115	86	96	0.000499229180643947	6	2.52193459629377	2.52193459629377	1	39.8548324416655	6	114	42	58	97	15	71	95	199	98	114	123
34	hsa05132	Salmonella infection	67/86	Disease	0.00631548189496695	0.0536815961072191	10	38.8333333333333	14.5	0.00052781973041985	5	3.21175466305554	3.21175466305554	1	50.314477553362	13	7	213	24	55	53	5	5	55	10	16	10
35	hsa05133	Pertussis	51/76	Disease	0.0111559700537433	0.0921164384437662	35	44.5	33.5	0.000934451844592412	10	3.08377355141563	3.08377355141563	1	39.3901894476151	65	10	62	26	43	91	32	113	13	34	33	12
