Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa04010	MAPK signaling pathway	196/255	Signaling	9.42719728807268e-06	0.000732618281255151	5	14.6666666666667	10	7.85603168445029e-07	1	1.8478743528323	1.8478743528323	1	94.5109658942094	4	14	37	14	1	56	8	22	2	12	1	5
2	hsa04060	Cytokine-cytokine receptor interaction	109/270	Signaling	8.25703912850248e-06	0.000732618281255151	5	9.16666666666667	5.5	6.88089198102996e-07	1	1.76949105571991	1.84349750557717	1	90.5019914102033	6	5	1	1	35	1	5	12	7	29	2	6
3	hsa04210	Apoptosis	113/138	Signaling	1.09835546108313e-05	0.000732618281255151	5	52	23	9.15300825321021e-07	1	1.13192971685519	1.13192971685519	1	57.8934225740083	25	19	41	178	12	199	3	21	1	49	74	2
4	hsa04668	TNF signaling pathway	91/108	Signaling	3.19860868695036e-06	0.000732618281255151	5	11.4166666666667	7	2.66551114684415e-07	1	1.69853215988866	1.69853215988866	1	86.8727436842135	3	9	9	5	25	46	1	20	4	10	4	1
5	hsa05134	Legionellosis	43/55	Disease	1.26750567691203e-05	0.000732618281255151	5	7.41666666666667	4	1.05626086701702e-06	1	1.95519571217014	1.97542847194851	1	100	1	2	4	7	6	43	2	1	12	4	3	4
6	hsa05142	Chagas disease (American trypanosomiasis)	75/102	Disease	4.2911660936404e-05	0.00206691166843679	15	32.6666666666667	20	3.57604207828515e-06	3	1.82259555393926	1.82259555393926	1	79.824794203756	19	13	86	53	40	99	7	23	13	15	21	3
7	hsa05133	Pertussis	51/76	Disease	0.000114438997845661	0.00472469576819943	20	31.9166666666667	20.5	9.53708339568042e-06	7	2.43407918571826	2.43407918571826	1	92.3485091682855	55	12	19	33	16	107	18	44	36	14	22	7
8	hsa04380	Osteoclast differentiation	85/130	Signaling	0.000142864197389457	0.00516096913069415	15	16.75	16.5	1.19061294090596e-05	3	1.4850917612062	1.4850917612062	1	55.4147995251102	11	11	24	30	5	19	22	32	3	16	11	17
9	hsa04350	TGF-beta signaling pathway	68/84	Signaling	0.000243620195835613	0.00705993707042944	30	25.6666666666667	24	2.03039502100201e-05	3	1.44240543571874	1.44240543571874	1	50.6201299018156	29	6	10	47	3	21	41	71	5	27	35	13
10	hsa05323	Rheumatoid arthritis	46/90	Disease	0.000244288479945655	0.00705993707042944	20	62.6666666666667	45	2.03596530091781e-05	2	2.31487657812684	2.31487657812684	1	81.2388460983287	26	17	97	2	64	242	49	100	91	18	5	41
11	hsa05132	Salmonella infection	67/86	Disease	0.000279486974791518	0.00734288506497717	10	37.8333333333333	8	2.32935652469268e-05	4	2.703102641769	2.8581029363697	1	94.110776543452	8	8	50	28	70	206	4	4	53	8	7	8
12	hsa05166	HTLV-I infection	200/256	Disease	0.000430855935954779	0.00957825888391778	10	45	40	3.59117535777961e-05	8	1.67306094973377	1.67306094973377	1	55.0987464139226	67	18	56	88	44	36	15	91	74	34	8	9
