Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa03010	Ribosome	128/154	Signaling	3.34450255668596e-08	9.66561238882242e-06	5	104.5	106.5	2.78708550662811e-09	1	0.289869229061204	0.28573125591882	1	27.8321194875099	1	103	110	179	137	21	53	47	75	181	229	118
2	hsa04060	Cytokine-cytokine receptor interaction	109/270	Signaling	1.23492454789653e-05	0.00178446597171049	5	8.16666666666667	4.5	1.02910961476009e-06	1	1.65749332709042	1.65749332709042	1	87.2246659504068	8	6	1	1	21	3	2	10	10	33	1	2
3	hsa05012	Parkinson's disease	120/142	Disease	3.92167710513599e-05	0.00377788227794767	105	85.75	100.5	3.26812299709364e-06	2	2.15574815391806	2.15574815391806	1	100	2	97	105	83	153	14	47	59	113	124	128	104
4	hsa00140	Steroid hormone biosynthesis	28/58	Metabolism	9.04991705119299e-05	0.00523085205558955	5	19.5	4.5	7.54191037706296e-06	1	1.11925857821222	1.11925857821222	1	48.8911449046433	3	3	29	24	32	2	1	1	6	86	44	3
5	hsa04668	TNF signaling pathway	91/108	Signaling	8.90439826682716e-05	0.00523085205558955	5	23.4166666666667	8	7.42063474354132e-06	1	2.08026823103171	2.08026823103171	1	90.8697038620408	12	5	25	7	5	136	5	63	11	9	2	1
6	hsa00190	Oxidative phosphorylation	118/133	Metabolism	0.000292601286258616	0.0140936286214567	170	109.666666666667	117.5	2.43867111699257e-05	4	0.25796650752181	0.284960057073998	1	9.14234231661158	4	115	123	155	170	16	60	86	93	205	169	120
7	hsa04010	MAPK signaling pathway	196/255	Signaling	0.000416009762952834	0.0171752602133384	5	39.25	15.5	3.46740920914847e-05	1	1.93667307215572	1.93667307215572	1	65.4512435731805	17	13	54	22	1	247	30	64	1	14	3	5
8	hsa04350	TGF-beta signaling pathway	68/84	Signaling	0.000651782588841646	0.0200867516465719	25	23.1666666666667	18.5	5.43314482813365e-05	2	1.39601390084995	1.39601390084995	1	45.3615392615416	21	8	11	70	6	50	16	43	2	22	23	6
9	hsa04950	Maturity onset diabetes of the young	14/26	Disease	0.000652342510523669	0.0200867516465719	15	14.25	12	5.43781363288302e-05	1	1.11463907982867	-1.12961629930807	-1	36.2186539435544	24	1	9	14	3	1	14	56	12	16	9	12
10	hsa05134	Legionellosis	43/55	Disease	0.000695043309569963	0.0200867516465719	10	18.6666666666667	6	5.79387351659111e-05	2	1.72581302015751	1.72581302015751	1	56.0779051213501	5	2	6	9	8	162	3	6	8	6	5	4
11	hsa04110	Cell cycle	122/124	Signaling	0.00217963768540962	0.0242275111955147	230	98.1666666666667	72	0.000181818181818182	9	1.17935394645064	1.37653122678038	1	36.4834260656842	63	175	19	227	9	145	81	27	121	27	57	227
12	hsa04141	Protein processing in endoplasmic reticulum	151/166	Signaling	0.00201187264601904	0.0242275111955147	40	90.0833333333333	69.5	0.000167810849878347	3	0.889693976375533	0.889693976375533	1	27.5227674430122	38	34	170	266	160	64	35	89	3	75	108	39
13	hsa04380	Osteoclast differentiation	85/130	Signaling	0.00217963768540962	0.0242275111955147	35	39.5833333333333	33	0.000181818181818182	5	2.36974390902527	2.36974390902527	1	73.3082523601865	41	40	34	32	10	58	76	117	5	12	20	30
14	hsa04550	Signaling pathways regulating pluripotency of stem cells	103/139	Signaling	0.00217963768540962	0.0242275111955147	210	96.6666666666667	86	0.000181818181818182	3	1.44652245286145	1.73472629254657	1	44.7483091285932	123	108	3	45	7	207	206	224	77	51	14	95
15	hsa04710	Circadian rhythm	26/31	Signaling	0.00217963768540962	0.0242275111955147	20	47.9166666666667	18.5	0.000181818181818182	2	1.94637020207589	1.94637020207589	1	60.2111466164937	18	22	178	73	14	184	23	8	17	2	19	17
16	hsa04915	Estrogen signaling pathway	76/98	Signaling	0.00217963768540962	0.0242275111955147	20	89.8333333333333	71.5	0.000181818181818182	17	2.1186078428547	2.1186078428547	1	65.5393343553557	147	83	55	44	18	89	156	248	138	23	17	60
17	hsa05161	Hepatitis B	116/144	Disease	0.00217963768540962	0.0242275111955147	15	129.333333333333	96	0.000181818181818182	13	1.82297938550767	1.98563041349895	1	56.3940400133484	217	102	33	90	15	289	276	169	254	13	29	65
18	hsa05162	Measles	87/134	Disease	0.00217963768540962	0.0242275111955147	75	68.9166666666667	57	0.000181818181818182	4	0.940923359290466	0.940923359290466	1	29.1075532580208	74	43	4	156	11	143	100	123	30	71	36	36
19	hsa05164	Influenza A	111/173	Disease	0.00217963768540962	0.0242275111955147	50	94.5	62.5	0.000181818181818182	2	0.955511365916406	0.955511365916406	1	29.5588346253649	120	50	2	165	12	227	120	218	69	56	47	48
20	hsa05166	HTLV-I infection	200/256	Disease	0.00217963768540962	0.0242275111955147	10	47.25	26.5	0.000181818181818182	4	1.68944402464187	1.76123129857567	1	52.263110971053	64	10	24	64	4	168	25	69	97	28	6	8
21	hsa05202	Transcriptional misregulation in cancer	122/180	Disease	0.00171087291554555	0.0242275111955147	20	27.8333333333333	14	0.000142684663745612	2	1.57849345669726	1.57849345669726	1	48.8308446379262	19	9	32	17	2	157	11	28	35	11	4	9
