entrezid	symbol
100129196	MATN1-AS1
7805	LAPTM5
9672	SDC3
9698	PUM1
9410	SNRNP40
51538	ZCCHC17
347735	SERINC2
64129	TINAGL1
553115	PEF1
576	ADGRB2
90853	SPOCD1
8073	PTP4A2
10657	KHDRBS1
55116	TMEM39B
23633	KPNA6
200081	TXLNA
55721	IQCC
56063	TMEM234
8668	EIF3I
3065	HDAC1
65108	MARCKSL1
81629	TSSK3
100128071	FAM229A
55108	BSDC1
653121	ZBTB8A
339487	ZBTB8OS
5928	RBBP4
57648	KIAA1522
8565	YARS1
64766	S100PBP
252995	FNDC5
113452	TMEM54
127544	RNF19B
204	AK2
113451	AZIN2
55223	TRIM62
149076	ZNF362
1912	PHC2
106480837	RN7SKP16
7579	ZSCAN20
114784	CSMD2
113444	SMIM12
9204	ZMYM6
79830	ZMYM1
6421	SFPQ
9202	ZMYM4
643343	RPL5P4
79932	KIAA0319L
23154	NCDN
339488	TFAP2E
5690	PSMB2
127703	C1orf216
63967	CLSPN
192670	AGO4
26523	AGO1
192669	AGO3
54936	ADPRS
27095	TRAPPC3
55700	MAP7D1
9967	THRAP3
79729	SH3D21
55194	EVA1B
83931	STK40
84967	LSM10
127700	OSCP1
64960	MRPS15
1441	CSF3R
728431	LINC01137
80149	ZC3H12A
64769	MEAF6
79753	SNIP1
29889	GNL2
54955	C1orf109
55143	CDCA8
284656	EPHA10
149175	MANEAL
79693	YRDC
127687	C1orf122
4520	MTF1
3633	INPP5B
10946	SF3A3
2275	FHL3
51118	UTP11
64121	RRAGC
105378663	LOC105378663
26292	MYCBP
79647	AKIRIN1
4725	NDUFS5
23499	MACF1
353500	BMP8A
192217	OXCT2P1
728448	PPIEL
8761	PABPC4
677834	SNORA55
26508	HEYL
10450	PPIE
656	BMP8B
64064	OXCT2
101929536	LOC101929536
54802	TRIT1
4610	MYCL
84879	MFSD2A
10487	CAP1
5538	PPT1
6018	RLF
106480651	RNU6-1237P
10269	ZMPSTE24
64744	SMAP2
339559	ZFP69
64789	EXO5
127396	ZNF684
9783	RIMS3
4802	NFYC
407034	MIR30E
9132	KCNQ4
163732	CITED4
1503	CTPS1
100507178	SLFNL1-AS1
200172	SLFNL1
22955	SCMH1
100132074	FOXO6
59269	HIVEP3
2981	GUCA2B
2980	GUCA2A
22887	FOXJ3
284716	RIMKLA
79717	PPCS
728621	CCDC30
10465	PPIH
4904	YBX1
149461	CLDN19
64175	P3H1
79078	C1orf50
100129924	TMEM269
374969	SVBP
114625	ERMAP
51058	ZNF691
6513	SLC2A1
112436690	ATP6V0CP4
440584	SLC2A1-AS1
10969	EBNA1BP2
128218	TMEM125
149466	C1orf210
4352	MPL
991	CDC20
64834	ELOVL1
112950	MED8
23334	SZT2
100873952	SZT2-AS1
81888	HYI
5792	PTPRF
9682	KDM4A
6487	ST3GAL3
9670	IPO13
1802	DPH2
533	ATP6V0B
8704	B4GALT2
149473	CCDC24
6536	SLC6A9
55929	DMAP1
79033	ERI3
100874278	ERI3-IT1
55182	RNF220
79639	TMEM53
26830	RNU5D-1
11004	KIF2C
6202	RPS8
94161	SNORD46
1263	PLK3
343521	DYNLT4
149478	BTBD19
8643	PTCH2
8891	EIF2B3
79654	HECTD3
7389	UROD
57643	ZSWIM5
400752	LINC01144
84842	HPDL
4595	MUTYH
114034	TOE1
10420	TESK2
126661	CCDC163
25974	MMACHC
5052	PRDX1
10327	AKR1A1
4678	NASP
149483	CCDC17
60313	GPBP1L1
100270896	RPL7AP16
51249	TMEM69
3652	IPP
23139	MAST2
8503	PIK3R3
10103	TSPAN1
55624	POMGNT1
8438	RAD54L
10489	LRRC41
7388	UQCRH
387338	NSUN4
2166	FAAH
8569	MKNK1
148932	MOB3C
64756	ATPAF1
9813	EFCAB14
1580	CYP4B1
1579	CYP4A11
284541	CYP4A22
100874253	LINC00853
10158	PDZK1IP1
6886	TAL1
6491	STIL
51727	CMPK1
84793	FOXD2-AS1
2306	FOXD2
388630	TRABD2B
200010	SLC5A9
54558	SPATA6
63950	DMRTA2
11124	FAF1
1031	CDKN2C
26994	RNF11
22996	TTC39A
102724097	TTC39A-AS1
2060	EPS15
114883	OSBPL9
4898	NRDC
105378721	LOC105378721
5865	RAB3B
51060	TXNDC12
112970	KTI12
91408	BTF3L4
9372	ZFYVE9
100419023	PDCL3P6
200014	CC2D1B
4998	ORC1
84950	PRPF38A
23318	TUT4
2882	GPX7
348378	SHISAL2A
65260	COA7
79699	ZYG11B
729236	RPS13P2
440590	ZYG11A
55268	ECHDC2
100652967	LOC100652967
6342	SCP2
6512	SLC1A7
1376	CPT2
54987	CZIB
4116	MAGOH
100507564	LOC100507564
7804	LRP8
55706	NDC1
54432	YIPF1
1733	DIO1
51668	HSPB11
115353	LRRC42
9528	TMEM59
127428	TCEANC2
606495	CYB5RL
51253	MRPL37
23648	SSBP3
619518	SSBP3-AS1
26027	ACOT11
338094	FAM151A
374977	MROH7
7268	TTC4
25973	PARS2
55001	TTC22
163747	LEXM
1718	DHCR24
7809	BSND
255738	PCSK9
23358	USP24
8613	PLPP3
5563	PRKAA2
199920	FYB2
1600	DAB1
115209	OMA1
114803	MYSM1
3725	JUN
105378753	LINC02777
55277	FGGY
51361	HOOK1
1573	CYP2J2
105378763	LINC01748
4774	NFIA
83941	TM2D1
10207	PATJ
106479749	RNU6-414P
163782	KANK4
7398	USP1
85440	DOCK7
27329	ANGPTL3
84938	ATG4C
29929	ALG6
23421	ITGB3BP
84455	EFCAB7
5236	PGM1
4919	ROR1
57685	CACHD1
55225	RAVER2
3716	JAK1
205	AK4
9829	DNAJC6
54741	LEPROT
3953	LEPR
79819	DNAI4
57708	MIER1
23169	SLC35D1
26135	SERBP1
1647	GADD45A
55970	GNG12
100289178	GNG12-AS1
79971	WLS
6121	RPE65
55635	DEPDC1
55631	LRRC40
9295	SRSF11
81573	ANKRD13C
11147	HHLA3
1491	CTH
9406	ZRANB2
406962	MIR186
8790	FPGT
1429	CRYZ
127253	TYW3
204962	SLC44A5
34	ACADM
5876	RABGGTB
256435	ST6GALNAC3
81849	ST6GALNAC5
10026	PIGK
645441	RPL17P6
26009	ZZZ3
23032	USP33
374986	MIGA1
100420557	NSRP1P1
91624	NEXN
8880	FUBP1
11080	DNAJB4
54810	GIPC2
5567	PRKACB
80135	RPF1
2787	GNG5
1486	CTBS
117178	SSX2IP
55283	MCOLN3
84144	SYDE2
148423	C1orf52
8915	BCL10
23576	DDAH1
3491	CCN1
54680	ZNHIT6
57489	ODF2L
51100	SH3GLB1
9403	SELENOF
9653	HS2ST1
8543	LMO4
101927891	PKN2-AS1
5586	PKN2
106479621	RNU6-125P
2959	GTF2B
56267	KYAT3
494115	RBMXL1
2635	GBP3
2633	GBP1
2634	GBP2
23507	LRRC8B
55144	LRRC8D
284695	ZNF326
105378853	LINC02609
84146	ZNF644
8317	CDC7
7049	TGFBR3
253152	EPHX4
284697	BTBD8
11146	GLMN
79871	RPAP2
2672	GFI1
7813	EVI5
106481764	RNU4-59P
6125	RPL5
388650	DIPK1A
26782	SNORA66
22823	MTF2
50999	TMED5
343099	CCDC18
1810	DR1
54874	FNBP1L
8412	BCAR3
30836	DNTTIP2
2730	GCLM
9411	ARHGAP29
5825	ABCD3
2152	F3
101928079	SLC44A3-AS1
100616321	MIR378G
126969	SLC44A3
1266	CNN3
199857	ALG14
148534	TLCD4
25950	RWDD3
653702	RPL7P9
58155	PTBP2
51375	SNX7
391059	FRRS1
178	AGL
23443	SLC35A3
106479897	RNU6-750P
64645	MFSD14A
163786	SASS6
54482	TRMT13
1629	DBT
8634	RTCA
8556	CDC14A
2135	EXTL2
148867	SLC30A7
51611	DPH5
102606465	LOC102606465
55599	RNPC3
280	AMY2B
55170	PRMT6
10451	VAV3
29957	SLC25A24
148545	NBPF4
727941	SLC25A24P1
284611	FAM102B
113802	HENMT1
55119	PRPF38B
6814	STXBP3
29899	GPSM2
23155	CLCC1
22911	WDR47
100132742	RPL17P7
6884	TAF13
56900	TMEM167B
6301	SARS1
1952	CELSR2
84722	PSRC1
343263	MYBPHL
6272	SORT1
5686	PSMA5
284612	SYPL2
127002	ATXN7L2
284613	CYB561D1
57463	AMIGO1
2773	GNAI3
271	AMPD2
2948	GSTM4
2946	GSTM2
2949	GSTM5
2947	GSTM3
79574	EPS8L3
1435	CSF1
10768	AHCYL1
85369	STRIP1
3749	KCNC4
440600	RBM15-AS1
64783	RBM15
9122	SLC16A4
10542	LAMTOR5
55791	LRIF1
128338	DRAM2
10390	CEPT1
79961	DENND2D
128344	PIFO
5016	OVGP1
79084	WDR77
515	ATP5PB
128346	C1orf162
5906	RAP1A
55924	INKA2
101928718	LOC101928718
11218	DDX20
3752	KCND3
55917	CTTNBP2NL
7482	WNT2B
54879	ST7L
829	CAPZA1
4343	MOV10
389	RHOC
333926	PPM1J
100996702	LINC01356
6566	SLC16A1
100506392	SLC16A1-AS1
9860	LRIG2
260425	MAGI3
10745	PHTF1
54665	RSBN1
10717	AP4B1
64858	DCLRE1B
101928846	HIPK1-AS1
204851	HIPK1
56944	OLFML3
51592	TRIM33
10286	BCAS2
163259	DENND2C
4893	NRAS
7812	CSDE1
80143	SIKE1
81839	VANGL1
126868	MAB21L3
476	ATP1A1
84852	ATP1A1-AS1
101929023	LINC01762
965	CD58
3321	IGSF3
5738	PTGFRN
8458	TTF2
80263	TRIM45
10905	MAN1A2
54855	TENT5C
54834	GDAP2
10885	WDR3
6913	TBX15
10352	WARS2
101929147	WARS2-AS1
51179	HAO2
3283	HSD3B1
90874	ZNF697
26227	PHGDH
3158	HMGCS2
83998	REG4
4853	NOTCH2
9554	SEC22B
728841	NBPF8
101060684	NBPF26
284565	NBPF15
647135	SRGAP2B
100288142	NBPF20
101929780	NBPF25P
653519	GPR89A
5174	PDZK1
27246	RNF115
10623	POLR3C
200035	NUDT17
10401	PIAS3
8799	PEX11B
9939	RBM8A
114814	GNRHR2
128077	LIX1L
284615	ANKRD34A
84265	POLR3GL
10628	TXNIP
100132406	NBPF10
100996756	LOC100996756
149013	NBPF12
5565	PRKAB2
2330	FMO5
644131	CCT8P1
9557	CHD1L
607	BCL9
51205	ACP6
51463	GPR89B
26864	RNVU1-7
200030	NBPF11
388685	LINC01138
100132057	PDE4DIPP6
25832	NBPF14
9659	PDE4DIP
400818	NBPF9
100996717	NOTCH2NLC
440689	H2BC18
653604	H3C13
337874	H2BC19P
337873	H2BC20P
8349	H2BC21
8338	H2AC20
317772	H2AC21
51027	BOLA1
10262	SF3B4
10903	MTMR11
56957	OTUD7B
11311	VPS45
81611	ANP32E
51107	APH1A
79630	C1orf54
148523	CIART
54460	MRPS21
9129	PRPF3
23248	RPRD2
80222	TARS2
1893	ECM1
54507	ADAMTSL4
106479396	RN7SL473P
106481086	RN7SL600P
4170	MCL1
2029	ENSA
55204	GOLPH3L
1520	CTSS
1513	CTSK
405	ARNT
9869	SETDB1
29956	CERS2
8416	ANXA9
55793	MINDY1
58497	PRUNE1
149428	BNIPL
54964	C1orf56
56882	CDC42SE1
10962	MLLT11
126626	GABPB2
10500	SEMA6C
79005	SCNM1
388695	LYSMD1
29765	TMOD4
6944	VPS72
8394	PIP5K1A
5710	PSMD4
100507670	ZNF687-AS1
57592	ZNF687
5298	PI4KB
106479384	RN7SL444P
5993	RFX5
8991	SELENBP1
5692	PSMB4
23126	POGZ
57530	CGN
7286	TUFT1
693139	MIR554
729374	RPS10P6
81609	SNX27
106480634	RNU6-1062P
11189	CELF3
65005	MRPL9
51686	OAZ3
11022	TDRKH
109729141	TDRKH-AS1
100191040	C2CD4D
117145	THEM4
6281	S100A10
6282	S100A11
6280	S100A9
6277	S100A6
6275	S100A4
140576	S100A16
57402	S100A14
6284	S100A13
6271	S100A1
26097	CHTOP
23557	SNAPIN
3608	ILF2
4881	NPR1
65123	INTS3
11000	SLC27A3
57459	GATAD2B
9909	DENND4B
200186	CRTC2
27173	SLC39A1
148327	CREB3L4
10899	JTB
5872	RAB13
6232	RPS27
7170	TPM3
25912	C1orf43
9898	UBAP2L
10456	HAX1
89872	AQP10
57198	ATP8B2
100151652	RNU7-57P
101928101	IL6R-AS1
3570	IL6R
55585	UBE2Q1
103	ADAR
10654	PMVK
57326	PBXIP1
90780	PYGO2
101928120	LOC101928120
6464	SHC1
1163	CKS1B
80308	FLAD1
51043	ZBTB7B
127579	DCST2
149095	DCST1
8751	ADAM15
1945	EFNA4
1944	EFNA3
1942	EFNA1
55974	SLC50A1
54344	DPM3
200185	KRTCAP2
7059	THBS3
4580	MTX1
2630	GBAP1
2629	GBA
10712	FAM189B
10067	SCAMP3
1196	CLK2
57657	HCN3
5313	PKLR
2224	FDPS
284618	RUSC1-AS1
23623	RUSC1
55870	ASH1L
645676	ASH1L-AS1
55154	MSTO1
55249	YY1AP1
7818	DAP3
54856	GON4L
6016	RIT1
22889	KHDC4
677823	SNORA80E
9181	ARHGEF2
107985209	ARHGEF2-AS2
6746	SSR2
56893	UBQLN4
28956	LAMTOR2
57111	RAB25
92312	MEX3A
4000	LMNA
64218	SEMA4A
9673	SLC25A44
11243	PMF1
632	BGLAP
79957	PAQR6
23381	SMG5
84283	TMEM79
112770	GLMP
7203	CCT3
128229	TSACC
57127	RHBG
10485	MIR9-1HG
4209	MEF2D
128239	IQGAP3
128240	NAXE
54865	GPATCH4
10763	NES
1382	CRABP2
81875	ISG20L2
51093	METTL25B
79590	MRPL24
3068	HDGF
5546	PRCC
9047	SH2D2A
375033	PEAR1
9826	ARHGEF11
2117	ETV3
55243	KIRREL1
54935	DUSP23
8407	TAGLN2
57549	IGSF9
93183	PIGM
93185	IGSF8
477	ATP1A2
8682	PEA15
50717	DCAF8
100287049	LOC100287049
5824	PEX19
1314	COPA
23385	NCSTN
4807	NHLH1
57216	VANGL2
51744	CD244
55600	ITLN1
142683	ITLN2
50848	F11R
100131187	TSTD1
7391	USF1
81607	NECTIN4
126823	KLHDC9
5202	PFDN2
4817	NIT1
9191	DEDD
51506	UFC1
27005	USP21
5498	PPOX
8703	B4GALT3
4720	NDUFS2
336	APOA2
84134	TOMM40L
9970	NR1I3
654790	PCP4L1
6391	SDHC
3310	HSPA6
127943	FCRLB
11266	DUSP12
22926	ATF6
9722	NOS1AP
400793	C1orf226
127933	UHMK1
6675	UAP1
4921	DDR2
51478	HSD17B7
8490	RGS5
83540	NUF2
5087	PBX1
4259	MGST3
223	ALDH9A1
54499	TMCO1
7371	UCK2
57645	POGK
117143	TADA1
10223	GPA33
5451	POU2F1
8804	CREG1
9019	MPZL1
55811	ADCY10
25874	MPC2
55827	DCAF6
23432	GPR161
261726	TIPRL
375035	SFT2D2
9095	TBX19
100271036	RPL7AP19
6375	XCL1
481	ATP1B1
29922	NME7
8548	BLZF1
10560	SLC19A2
2153	F5
55732	C1orf112
92342	METTL18
57147	SCYL3
22920	KIFAP3
92344	GORAB
2326	FMO1
2329	FMO4
23215	PRRC2C
8674	VAMP4
51603	EEF1AKNMT
5279	PIGC
92346	C1orf105
51430	SUCO
7292	TNFSF4
101928673	PRDX6-AS1
9588	PRDX6
27252	KLHL20
91687	CENPL
55157	DARS2
60674	GAS5
84614	ZBTB37
462	SERPINC1
149041	RC3H1
102724601	RABGAP1L-DT
9910	RABGAP1L
27101	CACYBP
63931	MRPS14
9674	KIAA0040
64326	COP1
677679	SCARNA3
89866	SEC16B
100302401	RASAL2-AS1
9462	RASAL2
400798	C1orf220
55103	RALGPS2
9917	FAM20B
64222	TOR3A
27	ABL2
6646	SOAT1
163590	TOR1AIP2
26092	TOR1AIP1
9857	CEP350
100270872	RPSAP16
5768	QSOX1
84320	ACBD6
9213	XPR1
57710	KIAA1614
103344928	KIAA1614-AS1
10228	STX6
3140	MR1
51278	IER5
2752	GLUL
6041	RNASEL
80896	NPL
1660	DHX9
3915	LAMC1
3918	LAMC2
23057	NMNAT2
284649	SMG7-AS1
9887	SMG7
10092	ARPC5
23179	RGL1
116461	TSEN15
81563	C1orf21
80267	EDEM3
6045	RNF2
81627	TRMT1L
54823	SWT1
10625	IVNS1ABP
7175	TPR
54953	ODR4
102724919	PDC-AS1
5743	PTGS2
105371664	LOC105371664
100271374	RPS27AP5
5997	RGS2
51377	UCHL5
6738	RO60
51022	GLRX2
79577	CDC73
259266	ASPM
360023	ZBTB41
163486	DENND1B
388722	C1orf53
140609	NEK7
2494	NR5A2
106481361	RNU6-570P
554279	LINC00862
23528	ZNF281
9928	KIF14
83479	DDX59
23271	CAMSAP2
55765	INAVA
647215	MROH3P
23046	KIF21B
252839	TMEM9
7139	TNNT2
3898	LAD1
23612	PHLDA3
1465	CSRP1
107985246	LOC107985246
55705	IPO9
10440	TIMM17A
6051	RNPEP
1999	ELF3
9283	GPR37L1
127829	ARL8A
29089	UBE2T
4660	PPP1R12B
100420423	LOC100420423
10765	KDM5B
100506696	PCAT6
148709	ACTG1P25
5877	RABIF
59349	KLHL12
51094	ADIPOR1
51706	CYB5R1
92703	TMEM183A
8497	PPFIA4
730227	LINC01136
7832	BTG2
2331	FMOD
493	ATP2B4
9877	ZC3H11A
100381270	ZBED6
6635	SNRPE
9580	SOX13
55224	ETNK2
5972	REN
3814	KISS1
127845	GOLT1A
22874	PLEKHA6
641293	RPL21P19
127841	LINC00628
84919	PPP1R15B
5287	PIK3C2B
4194	MDM4
23114	NFASC
388730	TMEM81
5929	RBBP5
25778	DSTYK
81788	NUAK2
5129	CDK18
148808	MFSD4A
2005	ELK4
85414	SLC45A3
64710	NUCKS1
8934	RAB29
254428	SLC41A1
148811	PM20D1
23380	SRGAP2
9641	IKBKE
83593	RASSF5
1939	EIF2D
8444	DYRK3
9261	MAPKAPK2
100271063	RPS14P1
79098	C1orf116
5208	PFKFB2
55432	YOD1
725	C4BPB
722	C4BPA
1604	CD55
4179	CD46
5362	PLXNA2
3914	LAMB3
50486	G0S2
80342	TRAF3IP3
148304	C1orf74
3664	IRF6
27042	UTP25
55733	HHAT
100873838	RNU5A-8P
55758	RCOR3
7188	TRAF5
84791	LINC00467
7779	SLC30A1
4751	NEK2
9926	LPGAT1
106480503	RN7SL344P
25896	INTS7
51514	DTL
100131205	RPL21P28
5525	PPP2R5A
55248	PACC1
29937	NENF
467	ATF3
25936	NSL1
128387	TATDN3
642946	FLVCR1-DT
28982	FLVCR1
79805	VASH2
90806	ANGEL2
26750	RPS6KC1
5629	PROX1
56950	SMYD2
5784	PTPN14
1063	CENPF
51133	KCTD3
2104	ESRRG
55105	GPATCH2
128153	SPATA17
51018	RRP15
127018	LYPLAL1
55532	SLC30A10
2058	EPRS1
10380	BPNT1
55699	IARS2
406997	MIR215
406969	MIR194-1
25782	RAB3GAP2
79762	C1orf115
54996	MTARC2
64757	MTARC1
11221	DUSP10
9015	TAF1A
100506161	TAF1A-AS1
375056	MIA3
64853	AIDA
148362	BROX
84976	DISP1
7100	TLR5
55061	SUSD4
388743	CAPN8
824	CAPN2
7159	TP53BP2
23219	FBXO28
8560	DEGS1
4931	NVL
29097	CNIH4
80232	WDR26
149111	CNIH3
127602	DNAH14
3930	LBR
55740	ENAH
6726	SRP9
286754	LEFTY3
2052	EPHX1
9725	TMEM63A
29920	PYCR2
163859	SDE2
3020	H3-3A
64746	ACBD3
286826	LIN9
142	PARP1
375057	STUM
3707	ITPKB
5664	PSEN2
56997	COQ8A
8476	CDC42BPA
339500	ZNF678
116841	SNAP47
65094	JMJD4
105373289	LOC105373289
100506571	LINC02809
375	ARF1
79169	C1orf35
128308	MRPL55
2987	GUK1
57165	GJC2
574432	IBA57-DT
200205	IBA57
574407	OBSCN-AS1
84033	OBSCN
81559	TRIM11
51127	TRIM17
92815	H2AW
128312	H2BU1
149603	RNF187
58480	RHOU
105373159	LOC105373159
5867	RAB4A
126731	CCSAP
55746	NUP133
23456	ABCB10
106481178	RNU4-21P
27097	TAF5L
9816	URB2
2590	GALNT2
79605	PGBD5
22796	COG2
183	AGT
84886	C1orf198
79573	TTC13
64801	ARV1
375061	FAM89A
440730	TRIM67
128061	C1orf131
8443	GNPAT
149371	EXOC8
83932	SPRTN
54583	EGLN1
7257	TSNAX
27185	DISC1
57568	SIPA1L2
84284	NTPCR
80003	PCNX2
440732	RPS7P3
84451	MAP3K21
101927765	COA6-AS1
388753	COA6
6894	TARBP1
359948	IRF2BP2
100130249	PP2672
101927851	LOC101927851
9804	TOMM20
677802	SNORA14B
23029	RBM34
51742	ARID4B
9453	GGPS1
6905	TBCE
148789	B3GALNT2
2786	GNG4
1130	LYST
4811	NID1
7107	GPR137B
56605	ERO1B
3964	LGALS8
100287902	LGALS8-AS1
55127	HEATR1
4548	MTR
6262	RYR2
339535	LINC01139
2271	FH
23596	OPN3
1122	CHML
9156	EXO1
731275	LINC01347
9859	CEP170
10806	SDCCAG8
10472	ZBTB18
159	ADSS2
51029	DESI2
116228	COX20
3192	HNRNPU
84288	EFCAB2
55083	KIF26B
64754	SMYD3
64216	TFB2M
163882	CNST
51097	SCCPDH
25909	AHCTF1
57116	ZNF695
93474	ZNF670
79862	ZNF669
388759	LINC02897
7678	ZNF124
84838	ZNF496
80851	SH3BP5L
79894	ZNF672
55657	ZNF692
267002	PGBD2
642273	FAM110C
26751	SH3YL1
52	ACP1
129787	TMEM18
7260	EIPR1
51112	TRAPPC12
55256	ADI1
246243	RNASEH1
100506054	RNASEH1-AS1
6201	RPS7
9781	RNF144A
339789	LINC00299
101929567	LINC01814
3398	ID2
57498	KIDINS220
