Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa03010	Ribosome	128/154	Signaling	4.37330333181592e-21	1.2638846628948e-18	5	47.6666666666667	23.5	3.64441944317993e-22	1	0.438355070639487	0.444418062220959	1	63.0144387027986	1	24	23	106	55	6	5	5	55	78	193	21
2	hsa04668	TNF signaling pathway	91/108	Signaling	7.31449572799863e-09	1.0569446326958e-06	5	41.6666666666667	4.5	6.09541312710025e-10	1	2.08348676783167	2.08348676783167	1	100	14	2	72	6	2	194	9	195	3	1	1	1
3	hsa05012	Parkinson's disease	120/142	Disease	2.50661360319688e-07	2.41470443774633e-05	50	63.75	55	2.08884490931074e-08	2	2.53739286845626	2.53739286845626	1	94.0941973545717	2	47	59	122	84	31	30	46	102	87	104	51
4	hsa04060	Cytokine-cytokine receptor interaction	109/270	Signaling	6.95369372815779e-07	5.024043718594e-05	5	52.25	45.5	5.79474662031434e-08	1	1.89695489025864	1.89695489025864	1	65.4970124310884	43	4	125	1	62	129	61	118	48	30	2	4
5	hsa00190	Oxidative phosphorylation	118/133	Metabolism	2.41668946595502e-06	0.0001396846511322	75	82.5833333333333	72.5	2.01391011900304e-07	3	0.33413832515889	0.359792764534256	1	10.3451311731662	3	72	69	173	91	33	48	69	98	141	121	73
6	hsa04950	Maturity onset diabetes of the young	14/26	Disease	6.11411658498964e-05	0.00294496615510334	5	46.75	21.5	5.09523993981817e-06	1	1.05135625852271	1.05135625852271	1	21.3712816545263	78	18	6	25	3	1	110	148	1	125	41	5
7	hsa04010	MAPK signaling pathway	196/255	Signaling	9.73537318328011e-05	0.00357737144588691	5	119.666666666667	116.5	8.11317300594548e-06	1	2.4334790216535	2.4334790216535	1	47.8149682694783	241	212	174	27	1	285	207	146	44	9	3	87
8	hsa04062	Chemokine signaling pathway	106/182	Signaling	9.90275832771463e-05	0.00357737144588691	235	120.833333333333	119.5	8.2526731825052e-06	4	2.32571111190116	2.32571111190116	1	45.6974565782951	168	208	216	32	118	232	121	80	15	22	4	234
9	hsa00310	Lysine degradation	54/59	Metabolism	0.00031213217059997	0.0100229108114879	5	44.3333333333333	13	2.60147361096299e-05	2	0.303755842603067	-0.350364611642905	-1	4.87686089778309	4	12	3	225	35	2	4	7	18	79	129	14
10	hsa03050	Proteasome	39/44	Signaling	0.000843311151513848	0.0243716922787502	45	80	54.5	7.03031068210111e-05	5	0.257683684738126	0.305148159321965	1	3.33851438725323	5	41	74	241	98	15	23	31	68	122	201	41
11	hsa04012	ErbB signaling pathway	70/86	Signaling	0.00217963768540962	0.0273876213514514	110	123.75	108.5	0.000181818181818182	7	1.30551617031312	1.30551617031312	1	16.3828486996258	173	219	25	92	7	210	109	108	195	32	37	278
12	hsa04066	HIF-1 signaling pathway	83/101	Signaling	0.00217963768540962	0.0273876213514514	100	158.333333333333	167	0.000181818181818182	9	0.988567166686683	0.988567166686683	1	12.405471088006	272	286	10	100	9	24	241	234	261	98	96	269
13	hsa04115	p53 signaling pathway	63/69	Signaling	0.00217963768540962	0.0273876213514514	5	88.0833333333333	76	0.000181818181818182	2	1.263292617452	1.263292617452	1	15.8529873909884	64	30	2	112	5	266	93	142	188	43	88	24
14	hsa04621	NOD-like receptor signaling pathway	114/170	Signaling	0.00160254597381289	0.0273876213514514	235	139	126.5	0.000133643687563683	5	2.04039647400544	2.19806676466818	1	25.6048258432145	234	141	97	98	48	287	233	259	139	13	5	114
15	hsa04710	Circadian rhythm	26/31	Signaling	0.00217963768540962	0.0273876213514514	285	179.75	243.5	0.000181818181818182	11	1.68571820234232	1.68571820234232	1	21.1539854843549	283	285	26	151	11	239	248	273	285	21	56	279
16	hsa04727	GABAergic synapse	42/88	Signaling	0.00191854178987417	0.0273876213514514	145	105.25	125.5	0.000160019241262784	2	2.53739286845626	2.53739286845626	1	31.8416093942816	112	144	143	36	148	52	139	71	2	189	73	154
17	hsa05133	Pertussis	51/76	Disease	0.00217963768540962	0.0273876213514514	10	82.3333333333333	24.5	0.000181818181818182	8	2.81769731974965	2.81769731974965	1	35.3591363032026	138	10	21	23	8	135	155	275	173	12	26	12
18	hsa05140	Leishmaniasis	40/73	Disease	0.00217963768540962	0.0273876213514514	250	118	81.5	0.000181818181818182	7	2.0533105996428	2.0533105996428	1	25.7668845769414	246	261	67	66	12	214	119	57	96	7	22	249
19	hsa05161	Hepatitis B	116/144	Disease	0.00217963768540962	0.0273876213514514	195	126.333333333333	84	0.000181818181818182	4	2.1162559095385	2.1162559095385	1	26.5567822054908	194	97	71	45	6	245	286	268	237	4	11	52
20	hsa05166	HTLV-I infection	200/256	Disease	0.00217963768540962	0.0273876213514514	25	108.083333333333	69	0.000181818181818182	4	1.92284603217941	1.92284603217941	1	24.1296910732503	150	39	22	99	4	260	181	209	267	27	16	23
21	hsa05210	Colorectal cancer	57/60	Disease	0.00217963768540962	0.0273876213514514	195	121.333333333333	116.5	0.000181818181818182	8	1.89590085692906	1.89590085692906	1	23.7915573812188	192	112	130	121	14	197	276	217	86	8	31	72
22	hsa05211	Renal cell carcinoma	60/65	Disease	0.00217963768540962	0.0273876213514514	205	165.166666666667	202	0.000181818181818182	12	0.300447853678691	-0.254878118544799	-1	3.77029533933266	202	225	12	202	13	207	177	220	150	74	274	226
23	hsa05219	Bladder cancer	38/41	Disease	0.00217963768540962	0.0273876213514514	125	89.3333333333333	55	0.000181818181818182	10	1.18825276348684	1.18825276348684	1	14.9113159178954	124	31	13	50	10	60	247	235	185	20	70	27
24	hsa05134	Legionellosis	43/55	Disease	0.0025405936826541	0.0305929822619598	20	54.4166666666667	21.5	0.000211963071603814	2	2.28658565380941	2.28658565380941	1	27.8114841716377	27	11	16	19	24	190	24	36	288	2	6	10
