Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	168/200	8.29492071470826e-41	4.14746035735413e-39	5	1.16666666666667	1	6.91243392892355e-42	1	2.24987205294386	2.24987205294386	1	100	1	1	3	1	1	1	1	1	1	1	1	1
2	gmtcustom38	HALLMARK_UV_RESPONSE_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	141/158	7.14527277547368e-07	1.78631819386842e-05	5	6.16666666666667	4	5.95439592957672e-08	2	2.71785091094344	2.71785091094344	1	14.9434949097804	2	7	11	8	7	19	2	4	4	2	4	4
3	gmtcustom28	HALLMARK_MYC_TARGETS_V1	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1	200/200	2.23121875992904e-06	3.71869793321506e-05	25	22.75	23	1.85935086805846e-07	3	1.39264633938706	1.39264633938706	1	7.1436187120569	3	24	12	50	34	7	22	17	21	30	27	26
4	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	52/54	4.08286802352442e-06	5.10358502940553e-05	5	8.33333333333333	3.5	3.40239638656211e-07	1	1.49161767667554	1.49161767667554	1	7.41381717971286	4	3	1	11	2	50	8	7	3	3	2	6
5	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	165/200	8.10985974980852e-06	8.10985974980852e-05	5	4.75	5	6.75824157872326e-07	2	2.00975883090891	2.00975883090891	1	9.52103266480718	5	5	9	7	3	6	4	5	2	6	3	2
6	gmtcustom37	HALLMARK_P53_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_P53_PATHWAY	183/200	0.000238691104008711	0.00198909253340593	10	15.9166666666667	13.5	1.98931017349698e-05	5	1.57796980350503	1.66857815145175	1	4.93617696409951	10	10	29	20	25	17	13	29	11	8	5	14
7	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	136/161	0.000410963239288632	0.00293545170920451	10	7.25	6	3.42533889912543e-05	3	1.42839865350058	1.4976396943038	1	4.18871523852225	6	6	6	26	4	3	3	6	7	4	9	7
8	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	148/199	0.00141723372199847	0.00885771076249046	10	8.41666666666667	9	0.000118179595206561	3	1.29999100025824	1.29999100025824	1	3.09010453924499	7	9	4	16	11	11	6	9	5	9	11	3
9	gmtcustom13	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY	172/200	0.0021875160331983	0.0121528668511017	15	15.3333333333333	12.5	0.000182476027672707	5	2.05929972058554	2.05929972058554	1	4.56744320614986	13	11	17	18	22	45	12	10	14	5	6	11
10	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	107/200	0.00255699117894441	0.0127849558947221	10	7.91666666666667	7.5	0.000213332730028633	2	1.37455468059804	1.37455468059804	1	3.01365489036812	8	2	7	6	6	2	7	8	9	18	13	9
11	gmtcustom7	HALLMARK_IL6_JAK_STAT3_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL6_JAK_STAT3_SIGNALING	55/87	0.0031742358701962	0.0133700976773436	5	8.25	5	0.000264905276672851	2	1.26014242692232	1.26014242692232	1	2.73444940754087	12	4	2	13	5	4	5	2	12	14	21	5
12	gmtcustom29	HALLMARK_MYC_TARGETS_V2	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V2	58/58	0.00320882344256247	0.0133700976773436	25	21	22	0.000267796032601725	5	1.39264633938706	1.39264633938706	1	3.0219767959988	9	27	19	32	21	5	25	19	22	24	22	27
13	gmtcustom34	HALLMARK_OXIDATIVE_PHOSPHORYLATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_OXIDATIVE_PHOSPHORYLATION	196/200	0.00454523520575041	0.0174816738682708	40	32.25	37	0.000379560964723637	8	0.124138846237198	0.128622945476524	1	0.252634024745644	11	39	21	49	36	8	32	41	29	38	43	40
14	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	132/200	0.00546097670454213	0.0195034882305076	15	10.4166666666667	9.5	0.000456224426920507	3	1.50973251878728	1.50973251878728	1	2.98936870512806	14	8	5	3	15	18	11	16	6	13	8	8
15	gmtcustom39	HALLMARK_UV_RESPONSE_DN	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_DN	126/144	0.00729123804181108	0.0243041268060369	30	24.9166666666667	27	0.000609643178249682	7	1.62044458288706	1.62044458288706	1	3.02925401153059	29	36	25	29	17	14	41	40	18	10	7	33
16	gmtcustom30	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	138/200	0.0102413741299683	0.032004294156151	20	18.25	20	0.000857480306219243	5	1.17288558585495	1.17288558585495	1	2.03024342324388	16	20	16	5	29	23	24	21	15	20	10	20
17	gmtcustom26	HALLMARK_MTORC1_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MTORC1_SIGNALING	193/200	0.0251007052206336	0.0738256035900989	25	26.75	23	0.00211618278165935	15	1.0823176416885	1.0823176416885	1	1.41851313005327	15	22	37	45	30	39	19	20	19	29	24	22
18	gmtcustom49	HALLMARK_KRAS_SIGNALING_DN	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_DN	88/200	0.0299807002352592	0.0832797228757201	40	30.75	35.5	0.00253339477677943	2	2.33470283545259	2.33470283545259	1	2.91843708992945	36	40	27	2	40	35	42	49	31	17	12	38
19	gmtcustom23	HALLMARK_COMPLEMENT	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COMPLEMENT	151/200	0.0610786302206958	0.160733237422884	15	14.1666666666667	12	0.00523819435574676	8	2.51071545981784	2.51071545981784	1	2.30819235829773	17	12	14	10	28	24	10	11	8	12	14	10
20	gmtcustom14	HALLMARK_ESTROGEN_RESPONSE_LATE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_LATE	162/200	0.0772798178579339	0.175635949677122	15	17.4166666666667	15	0.00668002640592608	7	2.87757432363998	2.87757432363998	1	2.51714166275682	20	14	30	19	32	15	14	15	16	7	15	12
21	gmtcustom24	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UNFOLDED_PROTEIN_RESPONSE	111/113	0.072928160586296	0.175635949677122	40	29.1666666666667	28.5	0.00629048319102776	14	0.127779767274208	0.147953266501353	1	0.111773060840854	18	23	36	39	39	46	18	14	20	34	40	23
22	gmtcustom36	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	46/49	0.0766578686005954	0.175635949677122	20	20.5833333333333	20	0.0066242489470675	10	2.61349533241215	2.61349533241215	1	2.28613992757098	19	25	20	21	13	10	27	43	13	11	20	25
23	gmtcustom25	HALLMARK_PI3K_AKT_MTOR_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PI3K_AKT_MTOR_SIGNALING	91/105	0.105441981925744	0.229221699838574	25	21.3333333333333	20	0.00924248301075505	3	0.144812054752181	0.166771042146769	1	0.107279474679448	24	13	13	38	18	22	9	3	37	25	41	13
24	gmtcustom42	HALLMARK_COAGULATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COAGULATION	99/138	0.151092069992055	0.314775145816782	20	18.5	17.5	0.0135576347052722	4	2.85765185705078	2.85765185705078	1	1.66120930335583	21	19	33	4	27	16	23	22	10	16	16	15
25	gmtcustom3	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS	67/74	0.190746056031321	0.376631812442361	20	22.4166666666667	20.5	0.0174822566850599	13	0.165049878384471	0.187945603999605	1	0.0810530668064186	22	16	23	31	14	40	15	13	30	19	28	18
26	gmtcustom19	HALLMARK_INTERFERON_GAMMA_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INTERFERON_GAMMA_RESPONSE	138/200	0.195848542470028	0.376631812442361	20	22.75	20.5	0.018	8	0.943711367878031	-0.943711367878031	-1	0.463447604898711	40	15	8	17	31	13	17	28	24	28	36	16
27	gmtcustom27	HALLMARK_E2F_TARGETS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS	200/200	0.279748400470051	0.518052593463057	35	33.4166666666667	32.5	0.0269757008595953	23	1.39264633938706	1.39264633938706	1	0.460626996375055	23	33	47	47	43	25	28	26	32	37	26	34
28	gmtcustom35	HALLMARK_GLYCOLYSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_GLYCOLYSIS	175/200	0.29751943906795	0.531284712621339	35	27.6666666666667	27.5	0.0289993381935607	17	0.902078268507628	0.902078268507628	1	0.286925626109326	31	17	34	35	33	43	21	30	25	23	23	17
29	gmtcustom46	HALLMARK_ALLOGRAFT_REJECTION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ALLOGRAFT_REJECTION	105/200	0.379806560401438	0.654838897243858	20	28.75	25	0.0390283018428857	16	0.174805459276235	0.177802591245112	1	0.0372176029397837	32	18	28	22	45	36	16	18	17	46	48	19
30	gmtcustom15	HALLMARK_ANDROGEN_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANDROGEN_RESPONSE	89/100	0.428424217799449	0.714040362999082	30	29.3333333333333	29	0.0455434742948532	22	0.117801213983634	0.126126241467835	1	0.0199527670016384	25	29	22	40	24	29	26	31	26	39	32	29
